jugador,velocidad_kmh,edad_2025,fuente,anio
Giovanni Mpetshi Perricard,216.3,22,ATP Tour - It All Adds Up: Mpetshi Perricard's serve sizzles above all others in tennis,2025
Reilly Opelka,210.2,28,ATP Tour - It All Adds Up: Mpetshi Perricard's serve sizzles above all others in tennis,2025
Raphael Collignon,207.4,22,ATP Tour - It All Adds Up: Mpetshi Perricard's serve sizzles above all others in tennis,2025
Alexander Zverev,207.3,28,ATP Tour - It All Adds Up: Mpetshi Perricard's serve sizzles above all others in tennis,2025
Jakub Mensik,207.0,20,ATP Tour - It All Adds Up: Mpetshi Perricard's serve sizzles above all others in tennis,2025
Rafael Nadal,187,39,TennisPredict.com - How Fast Pro Players Serve In Tennis,s/f
Novak Djokovic,193,38,TennisPredict.com - How Fast Pro Players Serve In Tennis,s/f
Roger Federer,188,44,TennisPredict.com - How Fast Pro Players Serve In Tennis,s/f
Daniil Medvedev,200,29,TennisPredict.com - How Fast Pro Players Serve In Tennis,s/f
Dominic Thiem,195,32,TennisPredict.com - How Fast Pro Players Serve In Tennis,s/f
Stefanos Tsitsipas,191,27,TennisPredict.com - How Fast Pro Players Serve In Tennis,s/f
Matteo Berrettini,206,29,TennisPredict.com - How Fast Pro Players Serve In Tennis,s/f
Roberto Bautista-Agut,183,37,TennisPredict.com - How Fast Pro Players Serve In Tennis,s/f
Gael Monfils,196,39,TennisPredict.com - How Fast Pro Players Serve In Tennis,s/f
